triplet	gv	count	expected	ratio
ושד	310	3	12.0	0.250
בפע	152	3	2.8	1.058
ףוז	93	3	0.2	14.994
רךכ	240	3	1.9	1.598
ראף	281	3	1.5	2.058
ךהע	95	3	3.8	0.794
מכי	70	3	14.1	0.213
צלפ	200	3	1.0	3.078
סבנ	112	3	1.3	2.305
לאס	91	3	4.7	0.639
הבז	14	3	3.6	0.828
לכד	54	3	4.7	0.642
הרצ	295	3	5.3	0.561
לתן	480	3	5.9	0.508
רעם	310	3	7.7	0.387
שןל	380	3	5.1	0.585
עםח	118	3	3.1	0.979
םפס	180	3	0.4	8.144
כעי	100	3	10.9	0.274
עיד	84	3	8.9	0.336
בפנ	132	3	2.5	1.205
לבצ	122	3	3.7	0.810
ןתא	451	3	7.4	0.405
ףוה	91	3	2.5	1.180
שךל	350	3	4.0	0.745
שחד	312	3	2.8	1.063
וךל	56	3	7.9	0.380
בךח	30	3	1.4	2.126
ךאי	31	3	10.2	0.293
אצו	97	3	8.7	0.346
תום	446	3	20.8	0.144
ןסא	111	3	0.9	3.228
סאר	261	3	4.0	0.759
גזו	16	3	0.5	5.890
כףר	300	3	0.5	6.457
גלך	53	3	0.5	5.493
צוק	196	3	1.5	1.993
הום	51	2	32.5	0.062
פתע	550	2	3.1	0.643
ץדש	394	2	0.4	4.927
ועץ	166	2	1.3	1.577
שלת	730	2	21.6	0.093
עופ	156	2	5.3	0.378
ץעל	190	2	0.9	2.235
וםח	54	2	8.3	0.240
פשח	388	2	1.7	1.159
בדג	9	2	0.9	2.295
ץוב	98	2	1.8	1.082
שיפ	390	2	7.6	0.264
אדי	15	2	21.5	0.093
יפח	98	2	3.5	0.572
טעי	89	2	2.3	0.874
יצר	300	2	6.0	0.332
ץנח	148	2	0.3	7.628
ץהח	103	2	0.7	2.685
עתט	479	2	1.3	1.535
םיפ	130	2	5.2	0.387
בגן	55	2	0.5	3.787
רמכ	260	2	8.1	0.247
לאט	40	2	3.8	0.532
זרכ	227	2	1.2	1.619
צאע	161	2	3.2	0.627
הצל	125	2	6.3	0.315
חמן	98	2	1.6	1.262
חשה	313	2	11.2	0.178
רום	246	2	21.0	0.095
אףכ	101	2	0.7	2.890
נאכ	71	2	8.2	0.243
ןתמ	490	2	4.0	0.505
ךתל	450	2	4.6	0.431
ןזר	257	2	0.6	3.270
בסא	63	2	3.6	0.561
וקת	506	2	9.2	0.217
וןת	456	2	8.4	0.239
גןע	123	2	0.4	5.518
וקי	116	2	16.2	0.124
מבכ	62	2	7.3	0.274
שעה	375	2	17.6	0.114
אאם	42	2	27.8	0.072
סףת	540	2	0.1	16.655
רגנ	253	2	1.4	1.477
כשם	360	2	5.1	0.392
נעמ	160	2	5.7	0.349
ןקו	156	2	2.2	0.914
אזה	13	2	6.0	0.334
זהס	72	2	0.5	4.012
ששב	602	2	14.2	0.140
תחנ	458	2	4.6	0.439
ךחמ	68	2	1.2	1.605
מךש	360	2	2.7	0.740
ךשת	720	2	3.4	0.596
חחמ	56	2	2.7	0.749
טבת	411	2	1.9	1.054
הפא	86	2	11.7	0.171
נחא	59	2	6.9	0.292
ישצ	400	2	5.2	0.387
ץסו	156	2	0.3	7.868
מסמ	140	2	1.7	1.188
ץעש	460	2	0.6	3.087
גפר	283	2	0.6	3.382
מהק	145	2	6.8	0.294
הצה	100	2	8.3	0.242
חחי	26	2	5.8	0.343
חככ	48	2	1.9	1.048
ךרא	221	2	5.9	0.340
נזמ	97	2	1.1	1.776
לכנ	100	2	6.6	0.305
מלמ	110	2	16.1	0.124
רטו	215	2	3.6	0.559
קץא	191	2	0.5	4.260
ענח	128	2	2.8	0.702
ץופ	176	2	0.5	4.112
חחו	22	2	5.6	0.355
וחם	54	2	8.3	0.240
לדג	37	2	1.1	1.744
דמכ	64	2	3.1	0.637
םשפ	420	2	2.6	0.784
צלם	160	2	2.4	0.833
ממי	90	2	23.6	0.085
הלז	42	2	4.8	0.419
נפצ	220	2	0.4	4.479
חלנ	88	2	5.5	0.366
שתמ	740	2	14.5	0.138
יכנ	80	2	9.6	0.208
גמר	243	2	2.0	1.008
משך	360	2	2.7	0.740
גרמ	243	2	2.0	1.008
דדן	58	2	0.8	2.643
וכו	32	2	28.7	0.070
נמר	290	2	9.3	0.216
דגב	9	2	0.9	2.295
שנע	420	2	6.2	0.323
פחו	94	2	3.4	0.592
היג	18	2	6.7	0.299
דןב	56	2	1.8	1.137
ארפ	281	2	7.6	0.264
גהה	13	2	5.9	0.337
ןנפ	180	2	0.6	3.082
ההן	60	2	12.0	0.167
פכש	400	2	2.1	0.966
פלג	113	2	0.7	2.851
גאח	12	2	1.5	1.362
רוג	209	2	4.2	0.477
דחר	212	2	3.3	0.609
אךו	27	2	9.9	0.202
שמך	360	2	2.7	0.740
ץעד	164	2	0.3	6.836
םשכ	360	2	5.1	0.392
אזב	10	2	3.5	0.572
עתק	570	2	3.4	0.590
סעא	131	2	2.4	0.817
ורך	226	2	6.6	0.301
שםר	540	2	10.7	0.186
יאז	18	2	6.7	0.297
עיך	100	2	4.3	0.470
ץלפ	200	2	0.3	5.828
לככ	70	2	5.7	0.349
כאר	221	2	15.1	0.132
שיס	370	2	4.0	0.505
לסר	290	2	3.2	0.635
ךגו	29	2	0.8	2.584
צער	360	2	2.1	0.934
מקה	145	2	6.8	0.294
וזי	23	2	7.6	0.263
אצע	161	2	3.2	0.627
ךשנ	370	2	1.8	1.084
לני	90	2	24.0	0.083
עאב	73	2	17.8	0.112
ךבי	32	2	6.2	0.323
אקח	109	2	3.3	0.613
קאש	401	2	7.1	0.282
מחז	55	2	0.8	2.439
ימג	53	2	3.4	0.580
רשך	520	2	3.4	0.589
ללס	120	2	3.7	0.535
טעל	109	2	1.6	1.280
מהח	53	2	10.4	0.192
שכה	325	2	13.5	0.148
תשפ	780	2	4.3	0.464
נךה	75	2	3.3	0.602
ןתש	750	2	4.3	0.468
ןגו	59	2	1.0	2.031
וןג	59	2	1.0	2.031
מךי	70	2	5.5	0.365
נתכ	470	2	5.5	0.366
רער	470	2	13.2	0.151
בןת	452	2	4.5	0.446
קנת	550	2	3.0	0.672
שבפ	382	2	3.9	0.508
ךיק	130	2	1.8	1.125
חנא	59	2	6.9	0.292
חסל	98	2	1.2	1.604
ץאב	93	2	1.6	1.222
חבן	60	2	1.8	1.114
מדע	114	2	4.1	0.489
עתפ	550	2	3.1	0.643
יזק	117	2	1.2	1.709
עתח	478	2	5.2	0.386
דקה	109	2	3.3	0.603
פטל	119	2	0.6	3.338
קעם	210	2	2.0	0.998
הכצ	115	2	2.5	0.788
קםב	142	2	2.9	0.685
יעפ	160	2	5.5	0.366
תאם	441	2	18.4	0.109
כתם	460	2	5.9	0.340
פצר	370	2	0.8	2.435
דםנ	94	2	2.6	0.758
םרק	340	2	3.2	0.618
הדל	39	2	15.2	0.131
אךש	321	2	5.1	0.395
צוע	166	2	3.6	0.555
קיט	119	2	1.0	2.090
בבמ	44	2	13.9	0.144
נשק	450	2	2.6	0.774
נשכ	370	2	4.7	0.422
נוז	63	2	2.4	0.841
תקם	540	2	3.2	0.625
םצד	134	2	0.8	2.548
יקת	510	2	9.5	0.210
יזא	18	2	6.7	0.297
ךגם	63	2	0.3	7.433
געא	74	2	2.3	0.871
לדש	334	2	8.5	0.236
ןלז	87	2	0.7	2.756
מצח	138	2	1.1	1.834
דתח	412	2	3.2	0.616
קיא	111	2	14.3	0.140
ךבו	28	2	6.0	0.334
פקח	188	2	0.5	3.847
שקא	401	2	7.1	0.282
בהק	107	2	7.7	0.259
פיכ	110	2	4.2	0.477
מךב	62	2	2.8	0.704
כדי	34	2	6.9	0.292
ץפל	200	2	0.3	5.828
נסה	115	2	2.2	0.897
פהע	155	2	4.9	0.412
נשת	750	2	9.9	0.202
תעצ	560	2	2.1	0.944
נאח	59	2	6.9	0.292
שדו	310	2	12.0	0.167
זוו	19	2	7.4	0.272
תטב	411	2	1.9	1.054
מבח	50	2	6.1	0.329
כפל	130	2	2.9	0.699
ועפ	156	2	5.3	0.378
לךק	150	2	1.2	1.648
סחר	268	2	1.1	1.904
העפ	155	2	4.9	0.412
ןקב	152	2	1.2	1.704
םזק	147	2	0.4	5.083
עךב	92	2	2.2	0.906
רםנ	290	2	6.8	0.294
כחת	428	2	4.0	0.503
תחס	468	2	1.0	1.925
ואט	16	2	5.3	0.375
רגם	243	2	1.5	1.373
לגמ	73	2	2.4	0.850
כדה	29	2	6.1	0.329
רלש	530	2	21.8	0.092
גםמ	83	2	1.2	1.724
אעז	78	2	2.4	0.834
ץלב	122	2	1.3	1.534
זםו	53	2	2.6	0.782
צמד	134	2	1.1	1.871
תןת	850	2	4.9	0.406
ורג	209	2	4.2	0.477
אשק	401	2	7.1	0.282
צהל	125	2	6.3	0.315
ליז	47	2	5.4	0.373
אמב	43	2	22.9	0.087
שןי	360	2	7.5	0.266
תדד	408	2	3.2	0.628
גשי	313	2	3.7	0.538
ץור	296	2	2.0	0.976
בנז	59	2	1.3	1.568
יטנ	69	2	2.0	0.995
צתה	495	2	5.3	0.378
קהכ	125	2	4.1	0.493
חקכ	128	2	1.0	1.923
כמע	130	2	5.0	0.399
סתמ	500	2	2.1	0.956
וםפ	126	2	5.0	0.401
צמת	530	2	2.7	0.734
םפל	150	2	3.5	0.568
תכש	720	2	8.6	0.232
קכי	130	2	4.6	0.438
יטש	319	2	3.2	0.630
רצב	292	2	3.1	0.641
ןמר	290	2	4.0	0.499
ךוצ	116	2	1.1	1.860
הצי	105	2	9.3	0.215
טעמ	119	2	1.0	1.907
בגש	305	2	1.9	1.036
שךב	322	2	3.1	0.653
גשה	308	2	3.3	0.605
כךנ	90	2	1.0	1.960
קאב	103	2	7.4	0.269
חבנ	60	2	4.2	0.482
ארר	401	2	31.9	0.063
שגם	343	2	1.3	1.599
בטר	211	2	1.9	1.042
מעע	180	2	6.5	0.306
עקצ	260	2	0.6	3.610
ךממ	100	2	2.5	0.798
ךפד	104	2	0.4	5.495
בבר	204	2	17.4	0.115
עבמ	112	2	9.5	0.210
הנצ	145	2	2.9	0.688
בךע	92	2	2.2	0.906
מוח	54	2	11.3	0.176
קטנ	159	2	0.3	6.684
לפה	115	2	9.3	0.215
תזא	408	2	3.8	0.522
בגם	45	2	1.3	1.522
בןכ	72	2	2.2	0.929
מלד	74	2	7.8	0.255
נאר	251	2	17.3	0.115
לדע	104	2	6.1	0.328
חלד	42	2	3.9	0.513
תזל	437	2	3.1	0.655
תגם	443	2	1.4	1.388
במן	92	2	3.6	0.554
זבל	39	2	2.8	0.718
מוז	53	2	3.5	0.574
חרפ	288	2	2.0	0.995
עהצ	165	2	3.3	0.605
כלצ	140	2	1.9	1.026
טלו	45	2	4.2	0.471
בכש	322	2	7.9	0.254
חרכ	228	2	4.0	0.497
סרב	262	2	2.4	0.835
העק	175	2	5.3	0.378
ןבו	58	2	7.6	0.262
וזו	19	2	7.4	0.272
יפצ	180	2	1.4	1.401
שתל	730	2	21.6	0.093
העט	84	2	2.0	0.983
בשו	308	2	27.9	0.072
אןנ	101	2	4.1	0.491
םכה	65	2	9.2	0.218
רעק	370	2	3.4	0.584
ןעק	220	2	0.8	2.484
דתך	424	2	1.5	1.319
תגנ	453	2	1.3	1.493
שמם	380	2	8.6	0.234
ןמה	95	2	6.2	0.323
קתא	501	2	8.2	0.245
תךש	720	2	3.4	0.596
דית	414	2	14.3	0.140
בעע	142	2	7.4	0.270
םבצ	132	2	1.8	1.096
לףא	111	2	1.7	1.156
קבק	202	2	1.3	1.549
יצף	180	2	0.3	7.270
בכא	23	2	13.6	0.147
לפל	140	2	7.2	0.280
ןהז	62	2	0.9	2.117
במנ	92	2	8.4	0.239
רכד	224	2	3.9	0.508
כתל	450	2	11.9	0.168
ינג	63	2	2.4	0.849
תגש	703	2	2.1	0.945
ךכר	240	2	1.9	1.066
םרכ	260	2	5.9	0.337
ילר	240	2	44.1	0.045
לםע	140	2	9.2	0.218
שיט	319	2	3.2	0.630
אדכ	25	2	5.9	0.341
פהה	90	2	12.1	0.165
ךבז	29	2	0.4	4.613
פץב	172	2	0.3	7.667
שרט	509	2	1.8	1.094
פםו	126	2	5.0	0.401
