triplet	gv	count	expected	ratio
םמש	380	13	8.6	1.519
ךלמ	90	13	3.7	3.480
בשב	304	13	15.0	0.870
מלח	78	13	8.0	1.625
תןמ	490	13	4.0	3.282
טיר	219	13	3.7	3.514
ידמ	54	13	11.5	1.131
תםת	840	13	12.2	1.062
גמן	93	13	0.5	27.881
להפ	115	13	9.3	1.397
למד	74	13	7.8	1.657
חאל	39	12	15.0	0.802
למק	170	12	5.2	2.294
עוב	78	12	20.1	0.597
םשל	370	12	12.8	0.941
םבר	242	12	11.3	1.063
ףעל	180	12	0.7	16.695
שרש	800	12	15.8	0.760
עוף	156	12	1.0	11.781
יםג	53	12	2.5	4.739
יים	60	12	37.8	0.317
ןוע	126	12	5.2	2.292
וזה	18	12	6.8	1.776
בדל	36	12	8.9	1.351
בןה	57	12	7.0	1.713
ואפ	87	12	12.7	0.943
ורע	276	12	22.3	0.539
תכי	430	12	17.5	0.687
המת	445	12	26.0	0.461
יבש	312	12	28.8	0.416
מיא	51	12	44.1	0.272
לעו	106	12	26.4	0.454
נדב	56	12	4.1	2.948
ילפ	120	12	10.5	1.145
פרב	282	12	4.6	2.620
תאד	405	12	12.2	0.981
תשע	770	12	11.3	1.067
ילמ	80	12	35.2	0.341
מךא	61	12	4.7	2.559
דםע	114	12	3.0	3.995
שחת	708	12	7.2	1.668
םתע	510	12	7.7	1.567
הרח	213	12	13.1	0.917
תבה	407	12	29.5	0.407
ונח	64	12	7.7	1.550
נחו	64	12	7.7	1.550
בתה	407	12	29.5	0.407
םוח	54	12	8.3	1.441
השר	505	12	28.4	0.423
יבע	82	12	20.8	0.578
ךכל	70	12	2.2	5.388
וקר	306	12	9.3	1.289
יכר	230	12	17.7	0.679
תגל	433	12	2.9	4.104
דלש	334	12	8.5	1.419
םלל	100	12	17.6	0.681
מאל	71	12	30.1	0.398
לםל	100	12	17.6	0.681
תרח	608	12	8.4	1.433
בןב	54	12	4.1	2.933
בחל	40	12	9.1	1.324
ורש	506	12	30.9	0.388
בלי	42	12	39.8	0.301
פשי	390	12	7.6	1.583
אאב	4	12	42.8	0.280
רמה	245	12	26.3	0.456
ממצ	170	12	2.2	5.468
בוע	78	12	20.1	0.597
םבה	47	12	17.4	0.688
קאת	501	12	8.2	1.471
הנש	355	12	15.4	0.778
צדק	194	12	0.3	34.562
רכה	225	12	15.7	0.765
חלק	138	12	2.6	4.617
ריר	410	12	37.2	0.323
משק	440	12	3.8	3.170
קהו	111	12	14.4	0.835
עכי	100	12	10.9	1.098
מהנ	95	12	14.3	0.839
תלכ	450	12	11.9	1.006
יתח	418	12	14.6	0.824
חיר	218	12	14.7	0.815
תךב	422	12	3.5	3.403
לזכ	57	12	1.5	8.187
םימ	90	12	17.3	0.693
יתך	430	12	6.8	1.765
השע	375	12	17.6	0.683
איע	81	12	34.3	0.350
בחמ	50	12	6.1	1.973
חדב	14	12	3.0	4.050
בכי	32	12	15.9	0.753
תשכ	720	12	8.6	1.391
רצה	295	12	5.3	2.245
םהל	75	12	22.9	0.523
םבח	50	12	4.5	2.687
שבל	332	12	19.7	0.610
להג	38	12	4.6	2.628
בךו	28	12	6.0	2.001
לאך	51	12	7.0	1.717
קומ	146	12	7.4	1.619
יצב	102	12	5.4	2.212
שחט	317	12	0.7	16.593
יבת	412	12	33.2	0.362
חבר	210	12	7.6	1.571
ירכ	230	12	17.7	0.679
ליח	48	12	17.5	0.687
כוא	27	12	25.4	0.472
ולר	236	12	42.7	0.281
ונע	126	12	12.1	0.991
בשד	306	12	6.4	1.866
ניק	160	12	5.2	2.294
שלא	331	12	32.5	0.369
בבנ	54	12	9.5	1.268
ולז	43	12	5.2	2.311
שאח	309	12	10.8	1.108
תזה	412	12	4.0	3.019
בלה	37	12	35.4	0.339
תאי	411	12	54.8	0.219
תרת	1000	12	20.9	0.573
עאת	471	12	19.5	0.615
ננו	106	12	10.6	1.128
הסכ	85	12	1.9	6.164
כיח	38	12	7.0	1.717
גלו	39	12	5.0	2.414
והג	14	12	6.5	1.855
עלצ	190	12	2.5	4.721
נסע	180	12	0.9	13.433
חלל	68	12	11.9	1.006
רתר	800	12	21.2	0.567
תבו	408	12	32.1	0.374
יהז	22	12	7.0	1.718
וכה	31	12	26.4	0.455
רחץ	298	12	0.5	24.882
המד	49	12	10.2	1.175
תלח	438	12	9.9	1.207
חדכ	32	12	1.6	7.695
ךבמ	62	12	2.8	4.226
חאה	14	12	19.5	0.616
מכס	120	12	1.0	11.957
ךהי	35	12	10.6	1.130
המר	245	12	26.3	0.456
ונו	62	12	32.9	0.365
סלא	91	12	4.7	2.557
עתש	770	12	11.3	1.067
יהק	115	12	14.9	0.807
פאת	481	12	7.5	1.604
בשע	372	12	10.3	1.170
חהכ	33	12	6.2	1.932
סבג	65	12	0.3	43.050
פיי	100	12	15.3	0.782
עלל	130	11	18.6	0.590
עוי	86	11	38.7	0.284
יעה	85	11	35.6	0.309
למא	71	11	30.1	0.365
לממ	110	11	16.1	0.683
וור	212	11	60.5	0.182
בבה	9	11	26.9	0.409
בלא	33	11	34.1	0.322
בוש	308	11	27.9	0.395
תון	456	11	8.4	1.315
רור	406	11	36.0	0.306
מהב	47	11	23.7	0.463
סףל	170	11	0.1	76.358
צאנ	141	11	2.8	3.925
אלק	131	11	9.8	1.124
לופ	116	11	10.1	1.085
דמת	444	11	6.5	1.682
חרש	508	11	7.3	1.512
דלח	42	11	3.9	2.822
ושת	706	11	30.6	0.360
דמו	50	11	11.1	0.990
אינ	61	11	30.1	0.365
חיל	48	11	17.5	0.630
גבר	205	11	2.2	4.895
ליב	42	11	39.8	0.276
לחד	42	11	3.9	2.822
יהג	18	11	6.7	1.644
באנ	53	11	15.6	0.704
סףש	440	11	0.1	105.499
להז	42	11	4.8	2.307
שהר	505	11	28.4	0.387
אסף	141	11	0.2	60.830
רלב	232	11	22.9	0.480
חיכ	38	11	7.0	1.574
דכל	54	11	4.7	2.352
כםי	70	11	10.3	1.065
ולל	66	11	50.7	0.217
שימ	350	11	25.4	0.432
מיי	60	11	51.5	0.214
עמה	115	11	16.3	0.675
סוכ	86	11	2.1	5.190
לחו	44	11	16.9	0.651
חתב	410	11	7.6	1.456
והח	19	11	22.0	0.500
שפת	780	11	4.3	2.550
פתר	680	11	5.0	2.190
ןקר	350	11	1.3	8.455
תשר	900	11	18.2	0.605
ורמ	246	11	28.7	0.384
ךונ	76	11	3.6	3.044
םמצ	170	11	1.6	6.827
אלש	331	11	32.5	0.339
הוג	14	11	6.5	1.700
ימר	250	11	29.6	0.371
יבה	17	11	51.8	0.212
סדם	104	11	0.6	18.271
וחט	23	11	1.4	7.768
ךעד	94	11	0.9	11.589
ארי	211	11	55.4	0.199
לשע	400	11	13.5	0.815
כים	70	11	10.3	1.065
רפא	281	11	7.6	1.454
ההע	80	11	31.6	0.348
םמל	110	11	11.8	0.930
תחמ	448	11	6.7	1.649
כיו	36	11	29.7	0.370
הןל	85	11	9.2	1.193
עוה	81	11	34.4	0.320
אשל	331	11	32.5	0.339
הטו	20	11	5.5	1.990
ערל	300	11	15.7	0.700
האה	11	11	76.0	0.145
תיח	418	11	14.6	0.755
הפת	485	11	7.8	1.418
ארא	202	11	47.5	0.232
הםע	115	11	12.0	0.920
תבע	472	11	11.8	0.931
מתם	480	11	9.9	1.116
ךוכ	46	11	3.2	3.486
םבל	72	11	13.4	0.822
וןה	61	11	13.1	0.842
הנא	56	11	26.8	0.411
וער	276	11	22.3	0.494
מהת	445	11	26.0	0.423
םכא	61	11	8.8	1.243
צים	140	11	3.5	3.128
יען	130	11	5.4	2.033
שזר	507	11	2.2	4.923
עתע	540	11	8.1	1.356
קרה	305	11	8.6	1.287
אשא	302	11	40.8	0.270
אתך	421	11	5.8	1.889
חתנ	458	11	4.6	2.415
רכב	222	11	9.2	1.200
תיצ	500	11	6.0	1.849
דתא	405	11	12.2	0.899
שוכ	326	11	14.7	0.750
בשל	332	11	19.7	0.559
מומ	86	11	22.8	0.482
זהמ	52	11	3.2	3.437
ררא	401	11	31.9	0.345
הןע	125	11	4.8	2.288
עוו	82	11	37.5	0.294
בדך	26	11	1.4	7.953
כןה	75	11	3.7	2.983
גלע	103	11	1.8	6.012
כרל	250	11	12.1	0.912
לקו	136	11	11.0	0.996
אתג	404	11	3.7	2.997
תלע	500	11	15.5	0.708
כלז	57	11	1.5	7.505
עלם	140	11	9.2	1.197
רבמ	242	11	15.4	0.716
מןא	91	11	6.0	1.844
עתם	510	11	7.7	1.436
קנא	151	11	4.5	2.454
חים	58	11	8.6	1.278
עדל	104	11	6.1	1.804
מיך	70	11	5.5	2.010
אסו	67	11	6.6	1.654
יהן	65	11	13.5	0.815
תבק	502	11	4.9	2.228
ודע	80	11	8.6	1.273
ןונ	106	11	4.6	2.392
דיש	314	11	12.4	0.888
דבא	7	11	11.2	0.986
שקד	404	11	1.8	5.965
הכס	85	11	1.9	5.651
חדמ	52	11	2.6	4.205
וחצ	104	11	2.3	4.777
כרמ	260	11	8.1	1.360
קטי	119	11	1.0	11.497
םעמ	150	11	6.2	1.784
כבס	82	11	1.1	9.677
כתו	426	11	16.9	0.651
פתי	490	11	8.7	1.260
ןעמ	160	11	2.5	4.437
ןפר	330	11	1.2	9.215
ריק	310	11	9.6	1.143
ןמל	120	11	4.8	2.315
יבכ	32	11	15.9	0.691
החצ	103	11	2.1	5.200
וןמ	96	11	6.7	1.633
טהב	16	11	3.0	3.711
דבק	106	11	1.9	5.680
לתה	435	11	38.8	0.284
קצה	195	11	1.4	7.956
רתכ	620	11	10.0	1.095
תקד	504	11	2.1	5.180
ילח	48	11	17.5	0.630
םלד	74	11	5.8	1.910
במח	50	11	6.1	1.808
חתמ	448	11	6.7	1.649
פרל	310	11	6.0	1.825
בטה	16	11	3.0	3.711
הכפ	105	11	3.7	2.954
וכפ	106	11	4.1	2.713
חזה	20	11	1.6	6.916
רבך	222	11	3.6	3.085
ובד	12	11	12.6	0.874
םקד	144	11	1.3	8.763
הןה	60	11	12.0	0.917
ןבק	152	11	1.2	9.375
קהת	505	11	8.5	1.301
םור	246	11	21.0	0.523
מחת	448	11	6.7	1.649
הקה	110	11	13.2	0.833
התה	410	10	50.5	0.198
מתח	448	10	6.7	1.499
יכן	80	10	4.2	2.409
שהפ	385	10	6.7	1.484
התנ	455	10	17.8	0.563
עשא	371	10	16.9	0.590
ותנ	456	10	19.4	0.517
עשב	372	10	10.3	0.975
המט	54	10	2.6	3.821
קהא	106	10	12.7	0.785
ייצ	110	10	10.5	0.956
ןלה	85	10	9.2	1.085
החו	19	10	22.0	0.455
נגד	57	10	0.5	19.035
תנה	455	10	17.8	0.563
ותת	806	10	35.2	0.284
תםכ	460	10	5.9	1.702
ירם	250	10	21.8	0.460
ךוע	96	10	4.1	2.430
תשו	706	10	30.6	0.327
ריס	270	10	4.6	2.167
הלק	135	10	10.1	0.986
וךא	27	10	9.9	1.010
נוש	356	10	16.8	0.595
וחל	44	10	16.9	0.592
תסו	466	10	4.4	2.265
וךו	32	10	11.2	0.895
תלמ	470	10	20.0	0.500
וני	66	10	34.0	0.294
פתו	486	10	8.4	1.184
לרב	232	10	22.9	0.437
דיק	114	10	3.7	2.679
הננ	105	10	9.8	1.024
נני	110	10	11.0	0.909
אשנ	351	10	14.9	0.672
ונק	156	10	5.1	1.976
יכס	90	10	2.2	4.564
להר	235	10	39.2	0.255
בשת	702	10	16.4	0.610
יחל	48	10	17.5	0.572
ציר	300	10	6.0	1.662
ךבש	322	10	3.1	3.266
פשת	780	10	4.3	2.318
ידא	15	10	21.5	0.465
ימק	150	10	7.7	1.305
קמת	540	10	4.4	2.294
תינ	460	10	20.0	0.500
רהק	305	10	8.6	1.170
שכם	360	10	5.1	1.960
תפו	486	10	8.4	1.184
וסב	68	10	4.0	2.484
אתצ	491	10	5.1	1.961
לגו	39	10	5.0	2.012
לשר	530	10	21.8	0.459
נבל	82	10	12.5	0.803
הבב	9	10	26.9	0.372
תרע	670	10	13.1	0.763
חתש	708	10	7.2	1.390
רחה	213	10	13.1	0.764
ללכ	80	10	14.3	0.699
יופ	96	10	14.8	0.674
יחד	22	10	5.7	1.751
רכו	226	10	17.1	0.585
כוו	32	10	28.7	0.348
םהע	115	10	12.0	0.836
ממר	280	10	13.6	0.737
שלם	370	10	12.8	0.784
דיא	15	10	21.5	0.465
רוך	226	10	6.6	1.504
נעל	150	10	8.5	1.170
צאמ	131	10	4.1	2.436
ךהו	31	10	10.3	0.974
לתע	500	10	15.5	0.643
ברד	206	10	7.5	1.336
עךא	91	10	3.6	2.744
כרא	221	10	15.1	0.661
ונכ	76	10	9.3	1.077
בןנ	102	10	2.5	4.055
ייד	24	10	25.1	0.399
מית	450	10	29.3	0.341
יימ	60	10	51.5	0.194
ונא	57	10	29.1	0.343
השכ	325	10	13.5	0.742
םהב	47	10	17.4	0.574
זהכ	32	10	1.9	5.242
אעב	73	10	17.8	0.562
יממ	90	10	23.6	0.424
משא	341	10	21.8	0.459
ןעד	124	10	1.2	8.281
לךכ	70	10	2.2	4.490
אלך	51	10	7.0	1.431
רשם	540	10	10.7	0.931
דות	410	10	13.8	0.724
רלי	240	10	44.1	0.227
יגר	213	10	4.3	2.309
קלי	140	10	11.4	0.876
קמו	146	10	7.4	1.349
יחת	418	10	14.6	0.687
גבל	35	10	2.7	3.751
ץהז	102	10	0.2	43.698
מהי	55	10	45.8	0.219
םוכ	66	10	10.0	1.001
תמר	640	10	16.9	0.593
ספו	146	10	1.1	9.438
ךהא	26	10	9.1	1.099
חרו	214	10	14.2	0.702
ןוש	356	10	7.3	1.377
מאי	51	10	44.1	0.227
שוק	406	10	8.0	1.251
ריצ	300	10	6.0	1.662
שרח	508	10	7.3	1.375
ימא	51	10	44.1	0.227
יהח	23	10	22.7	0.440
מעת	510	10	10.4	0.959
ךבכ	42	10	1.7	5.908
יגם	53	10	2.5	3.949
חםל	78	10	5.9	1.702
םיע	120	10	13.5	0.743
אלר	231	10	37.8	0.264
עםי	120	10	13.5	0.743
והט	20	10	5.5	1.809
םוט	55	10	2.1	4.780
פנו	136	10	4.6	2.154
ציל	130	10	7.1	1.401
ןשנ	400	10	2.3	4.258
תםה	445	10	19.1	0.523
זהל	42	10	4.8	2.097
זרח	215	10	1.0	9.711
וענ	126	10	12.1	0.826
תחש	708	10	7.2	1.390
יזה	22	10	7.0	1.431
בון	58	10	7.6	1.311
אאש	302	10	40.8	0.245
תהס	465	10	4.1	2.466
לשנ	380	10	11.9	0.843
ךמצ	150	10	0.5	19.643
בתש	702	10	16.4	0.610
יםר	250	10	21.8	0.460
םשק	440	10	2.8	3.598
התא	406	10	48.7	0.205
דון	60	10	3.3	3.048
זוב	15	10	3.9	2.534
ושכ	326	10	14.7	0.682
רעז	277	10	1.6	6.209
זבו	15	10	3.9	2.534
ענו	126	10	12.1	0.826
קצו	196	10	1.5	6.644
הםת	445	10	19.1	0.523
ןוכ	76	10	4.0	2.491
טהא	15	10	4.9	2.043
גבו	11	10	3.8	2.647
לחק	138	10	2.6	3.847
הרס	265	10	4.1	2.439
שטי	319	10	3.2	3.148
פעמ	190	10	2.5	3.994
המס	105	10	3.3	3.062
תבד	406	10	7.4	1.350
זרה	212	10	4.0	2.488
ופה	91	10	13.2	0.758
וךב	28	10	6.0	1.668
הפק	185	10	2.0	4.928
בנח	60	10	4.2	2.408
ונפ	136	10	4.6	2.154
צרו	296	10	5.8	1.718
ףוש	386	10	1.4	7.076
יחח	26	10	5.8	1.716
שרץ	590	10	1.0	9.555
תחט	417	10	0.8	12.006
נופ	136	10	4.6	2.154
מהם	85	10	15.4	0.650
מלב	72	10	18.2	0.548
במס	102	10	1.9	5.245
טהל	44	10	3.9	2.564
ופק	186	10	2.2	4.527
מרח	248	9	6.7	1.334
ירק	310	9	9.6	0.935
עיו	86	9	38.7	0.232
בתמ	442	9	15.2	0.592
לדו	40	9	16.6	0.543
שקו	406	9	8.0	1.126
שוש	606	9	26.5	0.339
ההל	40	9	60.6	0.149
תמה	445	9	26.0	0.346
ותפ	486	9	8.4	1.065
םהם	85	9	11.3	0.797
ראכ	221	9	15.1	0.595
הגי	18	9	6.7	1.345
התש	705	9	28.1	0.321
ופנ	136	9	4.6	1.938
ישע	380	9	19.8	0.455
לפת	510	9	6.0	1.510
יןא	61	9	13.0	0.691
ומח	54	9	11.3	0.794
אזנ	58	9	2.1	4.272
ךשב	322	9	3.1	2.939
וםב	48	9	19.0	0.474
אםו	47	9	31.3	0.287
שתש	1000	9	15.6	0.576
לדא	35	9	14.7	0.613
ששנ	650	9	8.6	1.049
משו	346	9	24.6	0.366
םוג	49	9	2.4	3.675
ירב	212	9	33.6	0.268
דבה	11	9	11.6	0.778
מהע	115	9	16.3	0.552
שוע	376	9	19.1	0.470
יתכ	430	9	17.5	0.515
לנח	88	9	5.5	1.647
צדי	104	9	2.3	3.857
קחל	138	9	2.6	3.462
ילש	340	9	37.9	0.237
םהג	48	9	2.2	4.000
ינת	460	9	20.0	0.450
שםמ	380	9	8.6	1.052
םמק	180	9	2.6	3.492
לון	86	9	10.0	0.897
כיק	130	9	4.6	1.970
איס	71	9	6.9	1.309
תמכ	460	9	8.0	1.125
בחד	14	9	3.0	3.038
םרע	310	9	7.7	1.162
מוי	56	9	49.8	0.181
קשת	800	9	4.7	1.914
יןכ	80	9	4.2	2.168
חםא	49	9	7.4	1.220
שומ	346	9	24.6	0.366
רהג	208	9	3.8	2.339
תענ	520	9	7.1	1.264
עמר	310	9	10.5	0.853
נפל	160	9	3.3	2.747
הגו	14	9	6.5	1.391
פהו	91	9	13.2	0.682
רשל	530	9	21.8	0.413
רתש	900	9	18.2	0.495
ךומ	66	9	5.3	1.700
וזא	14	9	6.5	1.381
ייט	29	9	6.4	1.400
כבו	28	9	15.4	0.584
אןו	57	9	12.6	0.714
ינך	80	9	3.7	2.409
נחנ	108	9	2.5	3.596
מעמ	150	9	8.4	1.071
קדמ	144	9	1.7	5.264
ארכ	221	9	15.1	0.595
רלע	300	9	15.7	0.573
ואק	107	9	13.9	0.649
מרפ	320	9	4.0	2.225
טוי	25	9	6.2	1.447
הרכ	225	9	15.7	0.574
ןבי	62	9	7.9	1.141
פרא	281	9	7.6	1.190
צפר	370	9	0.8	10.958
תקב	502	9	4.9	1.823
תמנ	490	9	9.2	0.982
הקנ	155	9	4.6	1.936
קלב	132	9	5.9	1.519
עלע	170	9	9.7	0.925
לענ	150	9	8.5	1.053
ותך	426	9	6.6	1.369
פלא	111	9	9.0	1.003
תית	810	9	36.4	0.247
בתת	802	9	18.9	0.477
מלו	76	9	34.0	0.265
מעט	119	9	1.0	8.581
און	57	9	12.6	0.714
פןת	530	9	1.2	7.623
תיפ	490	9	8.7	1.031
לדה	39	9	15.2	0.592
דהי	19	9	22.3	0.404
יךע	100	9	4.3	2.116
עבק	172	9	3.1	2.912
כמה	65	9	12.5	0.720
עהל	105	9	24.3	0.371
יחב	20	9	13.3	0.678
קרנ	350	9	3.0	2.991
אםי	51	9	32.4	0.278
מער	310	9	10.5	0.853
החת	413	9	12.9	0.696
קחמ	148	9	1.7	5.159
ייו	26	9	108.7	0.083
רקא	301	9	8.2	1.092
ותח	414	9	14.1	0.639
שהח	313	9	11.2	0.801
הרב	207	9	29.8	0.302
ינא	61	9	30.1	0.299
בדם	46	9	4.4	2.056
חאש	309	9	10.8	0.831
נאמ	91	9	13.8	0.652
השת	705	9	28.1	0.321
ורד	210	9	14.0	0.645
אקד	105	9	3.2	2.814
דלו	40	9	16.6	0.543
מתנ	490	9	9.2	0.982
נבי	62	9	18.2	0.493
בטי	21	9	3.3	2.698
שכנ	370	9	4.7	1.897
חות	414	9	14.1	0.639
יךי	40	9	11.9	0.753
דום	50	9	8.2	1.103
מהז	52	9	3.2	2.812
גור	209	9	4.2	2.148
שנא	351	9	14.9	0.605
יןע	130	9	5.4	1.663
בדב	8	9	6.8	1.333
קלל	160	9	7.8	1.155
קאל	131	9	9.8	0.920
אוש	307	9	46.0	0.196
דוה	15	9	21.6	0.417
ןהב	57	9	7.0	1.284
לבת	432	9	22.7	0.397
בןל	82	9	5.4	1.672
בןמ	92	9	3.6	2.491
הכן	75	9	3.7	2.440
לבר	232	9	22.9	0.393
יחן	68	9	3.5	2.601
םבכ	62	9	5.4	1.680
התי	415	9	56.8	0.158
הנו	61	9	30.2	0.298
בשק	402	9	4.3	2.099
דוכ	30	9	6.6	1.358
תדי	414	9	14.3	0.631
רנה	255	9	18.0	0.501
רפי	290	9	8.8	1.019
שמח	348	9	5.8	1.554
התר	605	9	32.7	0.275
זהע	82	9	2.5	3.618
ויז	23	9	7.6	1.183
חהל	43	9	15.5	0.580
לדי	44	9	17.1	0.526
חוו	20	9	23.9	0.376
אהק	106	9	12.7	0.707
כםת	460	9	5.9	1.532
רסב	262	9	2.4	3.759
מזה	52	9	3.2	2.812
עבן	122	9	2.8	3.205
דנו	60	9	7.6	1.186
ןימ	100	9	7.0	1.293
ץוא	97	9	3.1	2.949
מאן	91	9	6.0	1.509
כבא	23	9	13.6	0.659
בקו	108	9	8.4	1.072
ההב	12	9	46.0	0.195
חכמ	68	9	3.2	2.811
ןהד	59	9	3.0	2.987
נבו	58	9	17.6	0.510
ובג	11	9	3.8	2.382
ןלו	86	9	10.0	0.897
דיך	34	9	2.7	3.376
עבי	82	9	20.8	0.433
נןו	106	9	4.6	1.957
אספ	141	9	0.9	9.590
מאש	341	9	21.8	0.413
יור	216	9	62.6	0.144
רגמ	243	9	2.0	4.536
תתל	830	9	24.8	0.362
קשה	405	9	7.3	1.226
והד	15	9	21.6	0.417
עןת	520	9	3.1	2.923
פרח	288	9	2.0	4.477
מםו	86	9	16.8	0.537
קיה	115	9	14.9	0.606
גבע	75	9	1.4	6.471
ילת	440	9	43.7	0.206
רחט	217	9	0.8	10.687
שהת	705	9	28.1	0.321
ברנ	252	9	10.5	0.858
מחל	78	9	8.0	1.125
אהע	76	9	30.5	0.295
םעם	150	9	4.5	1.988
עםמ	150	9	6.2	1.459
והם	51	9	32.5	0.277
ןור	256	9	8.5	1.064
ככל	70	9	5.7	1.573
רתת	1000	9	20.9	0.430
מנר	290	9	9.3	0.971
חתת	808	9	8.3	1.086
רךה	225	9	6.1	1.474
רשה	505	9	28.4	0.317
צלע	190	9	2.5	3.541
למז	77	9	2.5	3.661
בשא	303	9	24.7	0.365
וחש	314	9	12.2	0.736
תבג	405	9	2.2	4.050
שבט	311	9	1.6	5.460
םתש	740	9	10.6	0.847
שתם	740	9	10.6	0.847
במת	442	9	15.2	0.592
דשכ	324	9	3.4	2.659
תמז	447	9	2.0	4.392
בסב	64	9	2.2	4.168
לזב	39	9	2.8	3.232
מדם	84	9	3.9	2.329
הטמ	54	9	2.6	3.439
חקי	118	9	3.8	2.363
צכם	150	9	1.0	9.370
םעב	112	9	7.0	1.289
רצח	298	9	1.4	6.572
יער	280	8	23.0	0.347
כיט	39	8	1.8	4.556
דלי	44	8	17.1	0.467
הכו	31	8	26.4	0.303
כבי	32	8	15.9	0.502
רפר	480	8	5.1	1.575
ובצ	98	8	5.2	1.524
לםא	71	8	22.1	0.362
םאר	241	8	18.6	0.429
רמן	290	8	4.0	1.997
מפר	320	8	4.0	1.978
ןאמ	91	8	6.0	1.341
געו	79	8	2.6	3.085
דעי	84	8	8.9	0.896
תאנ	451	8	17.1	0.467
דםא	45	8	7.2	1.107
פןי	140	8	2.1	3.855
בספ	142	8	0.6	14.077
מךה	65	8	4.9	1.645
בלכ	52	8	10.9	0.736
ששי	610	8	27.4	0.292
הלל	65	8	46.5	0.172
מונ	96	8	15.6	0.514
דרכ	224	8	3.9	2.030
דור	210	8	14.0	0.573
רהת	605	8	32.7	0.245
שםע	410	8	6.7	1.203
גרי	213	8	4.3	1.847
פיו	96	8	14.8	0.539
אהג	9	8	5.7	1.396
שיר	510	8	32.0	0.250
יסר	270	8	4.6	1.733
אמן	91	8	6.0	1.341
ויט	25	8	6.2	1.286
ייק	120	8	16.7	0.478
םופ	126	8	5.0	1.602
ידן	64	8	3.4	2.359
לשם	370	8	12.8	0.627
ארם	241	8	18.6	0.429
דשנ	354	8	3.9	2.064
עהב	77	8	18.5	0.434
בןח	60	8	1.8	4.456
וטב	17	8	3.2	2.479
עןו	126	8	5.2	1.528
ךהמ	65	8	4.9	1.645
נאא	52	8	25.8	0.310
ושפ	386	8	7.3	1.091
וטה	20	8	5.5	1.448
פנה	135	8	4.3	1.876
בחב	12	8	6.9	1.161
ןשם	390	8	2.5	3.168
מאב	43	8	22.9	0.349
ןמש	390	8	3.4	2.326
מלק	170	8	5.2	1.529
יוג	19	8	7.3	1.099
עיל	110	8	27.3	0.293
נסו	116	8	2.4	3.296
יון	66	8	14.7	0.544
נאה	56	8	26.8	0.299
ךמא	61	8	4.7	1.706
השפ	385	8	6.7	1.187
םנת	490	8	6.7	1.189
ןמא	91	8	6.0	1.341
םלו	76	8	25.0	0.320
תחה	413	8	12.9	0.618
ןלפ	160	8	1.4	5.648
םתח	448	8	4.9	1.633
תחי	418	8	14.6	0.549
אאח	10	8	18.8	0.426
זקן	157	8	0.2	50.576
רלמ	270	8	20.2	0.396
עןא	121	8	4.6	1.725
ותצ	496	8	5.8	1.390
רשע	570	8	11.4	0.703
םבת	442	8	11.2	0.717
אדב	7	8	11.2	0.717
ככם	80	8	2.8	2.837
דלת	434	8	9.7	0.821
ידם	54	8	8.4	0.948
רלך	250	8	4.7	1.705
נוס	116	8	2.4	3.296
באצ	93	8	4.6	1.721
יהפ	95	8	13.6	0.587
עות	476	8	22.0	0.363
תשק	800	8	4.7	1.701
כבע	92	8	5.7	1.411
אבע	73	8	17.8	0.450
רחם	248	8	5.0	1.616
קבנ	152	8	2.7	2.947
במו	48	8	25.8	0.310
ברפ	282	8	4.6	1.746
ילע	110	8	27.3	0.293
םרב	242	8	11.3	0.709
תמן	490	8	4.0	2.019
עמכ	130	8	5.0	1.598
מענ	160	8	5.7	1.395
רינ	260	8	20.2	0.396
סףע	210	8	0.1	106.460
ושי	316	8	53.7	0.149
אבה	8	8	44.4	0.180
משב	342	8	13.2	0.606
אבמ	43	8	22.9	0.349
לשכ	350	8	10.4	0.773
אמע	111	8	15.7	0.509
תשא	701	8	27.1	0.295
גיד	17	8	1.7	4.762
ותג	409	8	4.1	1.931
אחו	15	8	21.2	0.377
התע	475	8	20.2	0.395
והצ	101	8	9.0	0.890
נקי	160	8	5.2	1.529
הנז	62	8	2.2	3.662
כםע	130	8	3.7	2.176
פיר	290	8	8.8	0.906
זהה	17	8	6.2	1.289
ניד	64	8	7.8	1.020
נוח	64	8	7.7	1.033
ךמע	130	8	1.9	4.106
שםי	350	8	18.7	0.428
חפר	288	8	2.0	3.980
שינ	360	8	17.4	0.461
ומר	246	8	28.7	0.279
יאך	31	8	10.2	0.782
תפנ	530	8	2.7	2.929
ביר	212	8	33.6	0.238
יבך	32	8	6.2	1.291
אבל	33	8	34.1	0.235
שהס	365	8	3.5	2.272
וקד	110	8	3.6	2.216
מצב	132	8	2.5	3.219
דרי	214	8	14.4	0.554
דיע	84	8	8.9	0.896
ושו	312	8	52.0	0.154
גנב	55	8	1.2	6.549
אםת	441	8	18.4	0.434
פטו	95	8	0.8	9.421
וןל	86	8	10.0	0.797
בןג	55	8	0.5	15.149
לוח	44	8	16.9	0.473
ידה	19	8	22.3	0.359
אםנ	91	8	10.1	0.790
כןל	100	8	2.8	2.824
חרה	213	8	13.1	0.612
בדמ	46	8	6.0	1.342
רעמ	310	8	10.5	0.758
לפו	116	8	10.1	0.789
יעו	86	8	38.7	0.207
קרח	308	8	2.2	3.652
לוף	116	8	2.0	4.097
מתב	442	8	15.2	0.526
לתש	730	8	21.6	0.371
ריד	214	8	14.4	0.554
הלת	435	8	38.8	0.206
